360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,360ONE.NS,
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,3MINDIA.NS,
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,ABB.NS,
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,ACC.NS,
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,AIAENG.NS,
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,APLAPOLLO.NS,
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,AUBANK.NS,
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016,AARTIDRUGS.NS,
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,AARTIIND.NS,
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,AAVAS.NS,
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,ABBOTINDIA.NS,
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,ADANIENSOL.NS,
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,ADANIENT.NS,
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,ADANIGREEN.NS,
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,ADANIPORTS.NS,
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011,ADANIPOWER.NS,
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,ATGL.NS,
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,AWL.NS,
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,ABCAPITAL.NS,
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,ABFRL.NS,
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,INE208C01025,AEGISCHEM.NS,
Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014,AETHER.NS,
Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,AFFLE.NS,
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,AJANTPHARM.NS,
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,APLLTD.NS,
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,ALKEM.NS,
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039,ALKYLAMINE.NS,
Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029,ALLCARGO.NS,
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029,ALOKINDS.NS,
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,ARE&M.NS,
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,AMBER.NS,
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,AMBUJACEM.NS,
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,ANGELONE.NS,
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018,ANURAS.NS,
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,APARINDS.NS,
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,APOLLOHOSP.NS,
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,APOLLOTYRE.NS,
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,APTUS.NS,
Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021,ACI.NS,
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,ASAHIINDIA.NS,
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,ASHOKLEY.NS,
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,ASIANPAINT.NS,
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,ASTERDM.NS,
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,ASTRAL.NS,
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,ATUL.NS,
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,AUROPHARMA.NS,
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038,AVANTIFEED.NS,
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,DMART.NS,
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,AXISBANK.NS,
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016,BEML.NS,
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,BLS.NS,
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,BSE.NS,
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,BAJAJ-AUTO.NS,
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,BAJFINANCE.NS,
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,BAJAJFINSV.NS,
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,BAJAJHLDNG.NS,
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027,BALAMINES.NS,
